Start training
Train error: 0.8455500000 	 79 iterations left
Train error: 0.2150833333 	 78 iterations left
Train error: 0.2089500000 	 77 iterations left
Train error: 0.1990833333 	 76 iterations left
Train error: 0.1816500000 	 75 iterations left
Train error: 0.1788333333 	 74 iterations left
Train error: 0.1596666667 	 73 iterations left
Train error: 0.1609333333 	 72 iterations left
Train error: 0.1663666667 	 71 iterations left
Train error: 0.1703000000 	 70 iterations left
Train error: 0.1676333333 	 69 iterations left
Train error: 0.1419833333 	 68 iterations left
Train error: 0.1493500000 	 67 iterations left
Train error: 0.1401166667 	 66 iterations left
Train error: 0.1536166667 	 65 iterations left
Train error: 0.1367500000 	 64 iterations left
Train error: 0.1311333333 	 63 iterations left
Train error: 0.1409000000 	 62 iterations left
Train error: 0.1671666667 	 61 iterations left
Train error: 0.1310500000 	 60 iterations left
Train error: 0.1472000000 	 59 iterations left
Train error: 0.1607333333 	 58 iterations left
Train error: 0.1487333333 	 57 iterations left
Train error: 0.1730500000 	 56 iterations left
Train error: 0.1639333333 	 55 iterations left
Train error: 0.1444500000 	 54 iterations left
Train error: 0.1535333333 	 53 iterations left
Train error: 0.1492500000 	 52 iterations left
Train error: 0.1273500000 	 51 iterations left
Train error: 0.1428166667 	 50 iterations left
Train error: 0.1363833333 	 49 iterations left
Train error: 0.1685000000 	 48 iterations left
Train error: 0.1476833333 	 47 iterations left
Train error: 0.1762166667 	 46 iterations left
Train error: 0.1513333333 	 45 iterations left
Train error: 0.1575666667 	 44 iterations left
Train error: 0.1538000000 	 43 iterations left
Train error: 0.1446666667 	 42 iterations left
Train error: 0.1629666667 	 41 iterations left
Train error: 0.1562833333 	 40 iterations left
Train error: 0.1548833333 	 39 iterations left
Train error: 0.1501500000 	 38 iterations left
Train error: 0.1530333333 	 37 iterations left
Train error: 0.1444333333 	 36 iterations left
Train error: 0.1244000000 	 35 iterations left
Train error: 0.1263000000 	 34 iterations left
Train error: 0.1528166667 	 33 iterations left
Train error: 0.1316833333 	 32 iterations left
Train error: 0.1060333333 	 31 iterations left
Train error: 0.1249000000 	 30 iterations left
Train error: 0.1138500000 	 29 iterations left
Train error: 0.1105666667 	 28 iterations left
Train error: 0.1154500000 	 27 iterations left
Train error: 0.1238833333 	 26 iterations left
Train error: 0.1143833333 	 25 iterations left
Train error: 0.1130833333 	 24 iterations left
Train error: 0.1104333333 	 23 iterations left
Train error: 0.1171833333 	 22 iterations left
Train error: 0.0959333333 	 21 iterations left
Train error: 0.1315666667 	 20 iterations left
Train error: 0.1071000000 	 19 iterations left
Train error: 0.1227333333 	 18 iterations left
Train error: 0.1189500000 	 17 iterations left
Train error: 0.1084500000 	 16 iterations left
Train error: 0.1267833333 	 15 iterations left
Train error: 0.1062500000 	 14 iterations left
Train error: 0.1020666667 	 13 iterations left
Train error: 0.1054333333 	 12 iterations left
Train error: 0.1123833333 	 11 iterations left
Train error: 0.0985666667 	 10 iterations left
Train error: 0.1082000000 	 9 iterations left
Train error: 0.0983166667 	 8 iterations left
Train error: 0.1003833333 	 7 iterations left
Train error: 0.0998000000 	 6 iterations left
Train error: 0.1164833333 	 5 iterations left
Train error: 0.1072833333 	 4 iterations left
Train error: 0.0951500000 	 3 iterations left
Train error: 0.1019166667 	 2 iterations left
Train error: 0.1027000000 	 1 iterations left
Train error: 0.1118166667 	 0 iterations left
Done iterations!
('Train error: %d', 0.098783333333333334)
('Test error: %d', 0.099699999999999997)
Overall Error: 0.897558994054
Target Training Accuracy on 4s: 0.935124957206
Target Training Accuracy on misslabel 9s: 0.752059169608
Target Attack Rate (4 to 9): 0.0167750770284
