AE-TML-1,13.75.141.167
AS-TML-1,52.255.59.62
BS-TML-1,104.41.60.64
CC-TML-1,52.237.25.50
CI-TML-1,52.172.220.28
CUS-TML-1,52.176.156.26
EA-TML-1,52.175.28.251
EUS-TML-1,13.82.88.73
EUS2-TML-1,52.177.190.162
JE-TML-1,13.73.3.219
JW-TML-1,104.215.63.118
KC-TML-1,52.231.28.90
KS-TML-1,52.231.203.124
NCUS-TML-1,52.240.141.11
NE-TML-1,52.138.138.58
SCUS-TML-1,13.66.17.127
SI-TML-1,13.71.121.133
SA-TML-1,52.187.13.186
UKS-TML-1,51.140.76.162
UKW-TML-1,51.141.54.92
WCUS-TML-1,52.161.14.129
WI-TML-1,104.211.189.0
WUS-TML-1,52.160.111.212
WUS2-TML-1,52.191.136.42
